date,open,high,low,close,adj_close,volume
5/4/1999,48.69657516,70.375,77.25,70,76,22320900
5/5/1999,47.83159256,69.125,69.875,66.25,69.875,7565700
5/6/1999,47.0099144,67.9375,69.375,67.0625,68,2905700
5/7/1999,51.29140472,74.125,74.875,66.75,67.9375,4862300
5/10/1999,48.91281128,70.6875,73.5,70.25,73.375,2589400
5/11/1999,48.8695488,70.625,71.1875,69.5,70,1839800
5/12/1999,50.85891724,73.5,74.875,69.125,71,2659300
5/13/1999,50.64267349,73.1875,75.25,72.5,73.25,1142900
5/14/1999,48.56683731,70.1875,72.25,69.0625,71.25,2058400
5/17/1999,47.48564148,68.625,70.25,68,69.125,2075000
5/18/1999,47.48564148,68.625,70.4375,68.125,68.25,1407100
5/19/1999,47.96136093,69.3125,69.8125,68.75,69.375,727400
5/20/1999,47.31262207,68.375,70.125,68.375,69.5625,520800
5/21/1999,46.70717621,67.5,68.8125,67.5,68.125,936200
5/24/1999,45.19351196,65.3125,67.25,65,67,1493000
5/25/1999,44.63129807,64.5,65.9375,64,64.125,1662400
5/26/1999,45.71247864,66.0625,66.625,63.0625,65.625,1602900
5/27/1999,46.88017654,67.75,67.75,64.6875,65,1220500
5/28/1999,47.0099144,67.9375,68.8125,67,67.75,901900
6/1/1999,44.41506958,64.1875,66.625,63.5625,66.625,953900
6/2/1999,43.76636124,63.25,64.0625,62,63.75,2204300
6/3/1999,44.02584076,63.625,64.1875,63.125,64,852600
6/4/1999,45.23678207,65.375,67,64.3125,64.3125,1357400
6/7/1999,45.62598419,65.9375,67.75,65.1875,65.1875,891900
6/8/1999,44.11233902,63.75,65.6875,63.75,65.375,571700
6/9/1999,45.32327271,65.5,65.5,63.625,64.25,611400
6/10/1999,43.85285568,63.375,64.9375,63.3125,64.875,664200
6/11/1999,43.76636124,63.25,64.3125,62.3125,63.9375,969300
6/14/1999,42.38245392,61.25,64,60.5,63.5,821100
6/15/1999,43.42039108,62.75,63.375,62.25,62.875,831700
6/16/1999,45.15026855,65.25,65.4375,63.9375,63.9375,690300
6/17/1999,44.97726059,65,66.875,64.5,64.5,955700
6/18/1999,44.84753418,64.8125,64.875,63.5,64.25,613900
6/21/1999,48.09109497,69.5,69.9375,66.5625,66.6875,1811000
6/22/1999,47.05316925,68,70.125,67.75,70.125,1165900
6/23/1999,44.97726059,65,67.4375,64.875,67.0625,1351700
6/24/1999,45.0205307,65.0625,66.5,64.5,66.0625,1408900
6/25/1999,45.84222412,66.25,66.8125,65.375,65.5,1111500
